대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
01,800,800. 목월공원 앞,단체,M,40대,2,176.71,1.38,5949.6,120
01,800,800. 목월공원 앞,일일(비회원),\N,기타,2,120.28,1.08,4672.74,58
01,800,800. 목월공원 앞,일일(회원),\N,10대,6,535,4.34,18764.02,570
01,800,800. 목월공원 앞,일일(회원),\N,20대,14,1097.91,9.42,40631.75,379
01,800,800. 목월공원 앞,일일(회원),\N,30대,5,178.77,1.51,6497.15,140
01,800,800. 목월공원 앞,일일(회원),\N,40대,1,0,0,0,17
01,800,800. 목월공원 앞,일일(회원),\N,기타,2,44.29,0.4,1720.82,119
01,800,800. 목월공원 앞,일일(회원),F,10대,1,0,0,0,96
01,800,800. 목월공원 앞,일일(회원),F,30대,5,609.95,5.96,25690.59,247
01,800,800. 목월공원 앞,일일(회원),F,40대,1,241.75,2.72,11740,96
01,800,800. 목월공원 앞,일일(회원),M,20대,5,118.95,0.83,3624.63,47
01,800,800. 목월공원 앞,일일(회원),M,30대,6,466.63,3.93,16909.32,216
01,800,800. 목월공원 앞,일일(회원),M,40대,2,541.31,4.88,21030,234
01,800,800. 목월공원 앞,일일(회원),M,기타,1,36.34,0.34,1480,8
01,800,800. 목월공원 앞,정기,\N,10대,3,279.71,2.28,9810.13,325
01,800,800. 목월공원 앞,정기,\N,20대,51,2756.15,19.33,83391.93,977
01,800,800. 목월공원 앞,정기,\N,30대,44,4004.69,36.84,158755.03,1496
01,800,800. 목월공원 앞,정기,\N,40대,12,1316.55,9.8,42235.54,315
01,800,800. 목월공원 앞,정기,\N,50대,12,500.25,4.63,19949.02,417
01,800,800. 목월공원 앞,정기,\N,기타,1,462.81,4.17,17980,89
01,800,800. 목월공원 앞,정기,,30대,1,0,0,0,101
01,800,800. 목월공원 앞,정기,,40대,1,8.75,0.08,340,3
01,800,800. 목월공원 앞,정기,F,20대,27,975.35,10.57,45599.97,466
01,800,800. 목월공원 앞,정기,F,30대,19,661.75,7.08,30533.09,259
01,800,800. 목월공원 앞,정기,F,40대,7,70.24,0.64,2774.63,267
01,800,800. 목월공원 앞,정기,F,50대,30,1175.12,11.14,48029.05,443
01,800,800. 목월공원 앞,정기,F,60대,2,10.57,0.13,556.07,10
01,800,800. 목월공원 앞,정기,F,기타,13,52.85,0.49,2052.72,23
01,800,800. 목월공원 앞,정기,M,10대,2,14.47,0.15,630,15
01,800,800. 목월공원 앞,정기,M,20대,15,1196.86,10.05,43287.17,600
01,800,800. 목월공원 앞,정기,M,30대,88,4872.2,41.06,176912.12,2197
01,800,800. 목월공원 앞,정기,M,40대,14,572.6,4.7,20243.89,597
01,800,800. 목월공원 앞,정기,M,50대,3,424.6,3.32,14296.35,101
01,800,800. 목월공원 앞,정기,M,60대,10,1217.15,10.82,46629.73,462
